# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
393 c29c 0 3ff 3 1 0 0 1bff 0 0
394 c29b 0 3ff 3 1 0 0 1bff 0 0
395 c29a 0 3ff 3 1 0 0 1bff 0 0
396 c299 0 3ff 3 1 0 0 1bff 0 0
397 c298 0 3ff 3 1 0 0 1bff 0 0
398 c297 0 3ff 3 1 0 0 1bff 0 0
399 c296 0 3ff 3 1 0 0 1bff 0 0
400 c295 0 3ff 3 1 0 0 1bff 0 0
401 c294 0 3ff 3 1 0 0 1bff 0 0
402 c293 0 3ff 3 1 0 0 1bff 0 0
403 c292 0 3ff 3 1 0 0 1bff 0 0
404 c291 0 3ff 3 1 0 0 1bff 0 0
405 c290 0 3ff 3 1 0 0 1bff 0 0
406 c28f 0 3ff 3 1 0 0 1bff 0 0
407 c28e 0 3ff 3 1 0 0 1bff 0 0
408 c28d 0 3ff 3 1 0 0 1bff 0 0
409 c28c 0 3ff 3 1 0 0 1bff 0 0
410 c28b 0 3ff 3 1 0 0 1bff 0 0
411 c28a 0 3ff 3 1 0 0 1bff 0 0
412 c289 0 3ff 3 1 0 0 1bff 0 0
413 c288 0 3ff 3 1 0 0 1bff 0 0
414 c287 0 3ff 3 1 0 0 1bff 0 0
415 c286 0 3ff 3 1 0 0 1bff 0 0
416 c285 0 3ff 3 1 0 0 1bff 0 0
417 c284 0 3ff 3 1 0 0 1bff 0 0
418 c283 0 3ff 3 1 0 0 1bff 0 0
419 c282 0 3ff 3 1 0 0 1bff 0 0
420 c281 0 3ff 3 1 0 0 1bff 0 0
421 c280 0 3ff 3 1 0 0 1bff 0 0
422 c27f 0 3ff 3 1 0 0 1bff 0 0
423 c27e 0 3ff 3 1 0 0 1bff 0 0
424 c27d 0 3ff 3 1 0 0 1bff 0 0
425 c27c 0 3ff 3 1 0 0 1bff 0 0
426 c27b 0 3ff 3 1 0 0 1bff 0 0
427 c27a 0 3ff 3 1 0 0 1bff 0 0
428 c279 0 3ff 3 1 0 0 1bff 0 0
429 c278 0 3ff 3 1 0 0 1bff 0 0
430 c277 0 3ff 3 1 0 0 1bff 0 0
431 c276 0 3ff 3 1 0 0 1bff 0 0
432 c275 0 3ff 3 1 0 0 1bff 0 0
433 c274 0 3ff 3 1 0 0 1bff 0 0
434 c273 0 3ff 3 1 0 0 1bff 0 0
435 c272 0 3ff 3 1 0 0 1bff 0 0
436 c271 0 3ff 3 1 0 0 1bff 0 0
437 c270 0 3ff 3 1 0 0 1bff 0 0
438 c26f 0 3ff 3 1 0 0 1bff 0 0
439 c26e 0 3ff 3 1 0 0 1bff 0 0
